qid,nl_question,query_class,difficulty,gold_hash,pred_sql,pred_hash,exec_ok,den_acc,join_hall,llm_error,latency_s,exec_error
Q003,Count all events in the event table.,count_filter,easy,823020149d4c3052494372fcb281a63f087cb5ce4c5982a690f332de7126656a,SELECT COUNT(*) FROM events,823020149d4c3052494372fcb281a63f087cb5ce4c5982a690f332de7126656a,1,1,0,0,6.835,
Q004,How many billing_created events are there?,count_filter,easy,cb0183f6087206caadadf3285e6d9671fea21911dbfb7c7cfc00c76603b7d108,SELECT COUNT(*) FROM events WHERE event_type = 'billing_created';,cb0183f6087206caadadf3285e6d9671fea21911dbfb7c7cfc00c76603b7d108,1,1,0,0,5.966,
Q005,Count invoice creation events.,count_filter,easy,cb0183f6087206caadadf3285e6d9671fea21911dbfb7c7cfc00c76603b7d108,SELECT COUNT(*) FROM your_table_name WHERE event_type = 'invoice_created';,,0,0,0,0,8.578,Catalog Error: Table with name your_table_name does not exist!
Q007,What are the top 5 event types by frequency?,group_topk,easy,cee0c389750a7041b444b3f2a8b10cd5e6fda85ab24fb09e2720eee78aa5e6eb,"SELECT event_type, COUNT(*) AS frequency 
FROM `events` 
GROUP BY event_type 
ORDER BY frequency DESC 
LIMIT 5",,0,0,0,0,9.935,"Parser Error: syntax error at or near ""`"""
Q008,Show the five most common event types.,group_topk,easy,cee0c389750a7041b444b3f2a8b10cd5e6fda85ab24fb09e2720eee78aa5e6eb,"SELECT event_type, COUNT(*) AS n_events 
FROM your_table_name 
GROUP BY event_type 
ORDER BY n_events DESC 
LIMIT 5;",,0,0,0,0,9.972,Catalog Error: Table with name your_table_name does not exist!
Q010,How many objects do we have per object type?,group_topk,easy,a227d639b4955616abc2e38af8a2f29a48d701c8e5bd24644218f072b5f9fe0e,"SELECT o.object_type, COUNT(*) AS n_objects 
FROM objects o 
GROUP BY o.object_type",a227d639b4955616abc2e38af8a2f29a48d701c8e5bd24644218f072b5f9fe0e,1,1,0,0,8.248,
Q011,Show object counts by object type.,group_topk,easy,a227d639b4955616abc2e38af8a2f29a48d701c8e5bd24644218f072b5f9fe0e,"SELECT o.object_type, COUNT(*) AS n_objects 
FROM objects o 
GROUP BY o.object_type",a227d639b4955616abc2e38af8a2f29a48d701c8e5bd24644218f072b5f9fe0e,1,1,0,0,8.572,
Q015,Break down the relation graph by edge type.,path_relation,medium,8915d1fcf6bf5237c66c0b068fe4510a70a9e19d50e112a005623e183b8169b8,"SELECT relation_type, COUNT(*) AS n_relations FROM relations GROUP BY relation_type",8915d1fcf6bf5237c66c0b068fe4510a70a9e19d50e112a005623e183b8169b8,1,1,0,0,6.728,
Q016,How many billing documents are linked to AR items?,path_relation,medium,e7879eac24fc5841fdbd3067f55421f04b4bf6972e44c6fe25fbebfd8cfe3e1c,"SELECT COUNT(DISTINCT from_object_id) 
FROM relations 
WHERE relation_type = 'billing_to_ar'
  AND from_object_id IS NOT NULL;",dd14fe5ba9aa0e8a7a899b8e51a6df9e6f6ef85288bb84e4dca24a7ab863cccc,1,0,0,0,8.472,
Q017,Count billing_to_ar relations.,path_relation,medium,e7879eac24fc5841fdbd3067f55421f04b4bf6972e44c6fe25fbebfd8cfe3e1c,SELECT COUNT(*) FROM relations WHERE relation_type = 'billing_to_ar';,e7879eac24fc5841fdbd3067f55421f04b4bf6972e44c6fe25fbebfd8cfe3e1c,1,1,0,0,7.799,
